0.99716,0.89371,0.67142,0.42276,0.22308,0.157,0.15828,0.13067,0.088714,0.049479,0.93275,0.86477,0.72359,0.54654,0.37246,0.22872,0.12636,0.098608,0.090285,0.077676,0.062766,0.047606,0.033845,0.022526,1,63.833,1
0.91634,0.99722,0.9097,0.6955,0.44561,0.14831,0.17709,0.17317,0.13925,0.091985,0.70592,0.64871,0.54181,0.41135,0.28377,0.17765,0.10079,0.23917,0.21866,0.18676,0.14895,0.11085,0.076873,0.049602,1,126.67,1
0.67973,0.89819,0.99487,0.92355,0.71845,0.1131,0.15994,0.18524,0.17642,0.13803,0.43126,0.39283,0.32749,0.24992,0.17452,0.11139,0.064889,0.46821,0.42741,0.36242,0.2853,0.20834,0.14093,0.088155,1,189.5,1
0.407,0.65302,0.87825,0.98994,0.93503,0.069616,0.1166,0.15995,0.18043,0.16719,0.21267,0.19201,0.15979,0.12257,0.086639,0.056374,0.033723,0.73988,0.6744,0.56771,0.44112,0.31608,0.20855,0.12647,1,252.33,1
0.19669,0.3832,0.62579,0.8565,0.98228,0.034586,0.068611,0.11148,0.14894,0.16346,0.084645,0.075749,0.06292,0.048515,0.034713,0.023027,0.014145,0.9438,0.85898,0.71786,0.55055,0.38709,0.24912,0.14646,1,315.17,1
0.13188,0.12241,0.09579,0.063194,0.035144,0.98323,0.87437,0.68362,0.4711,0.28599,0.11982,0.2195,0.36293,0.54164,0.72933,0.88508,0.96615,0.016468,0.02794,0.044541,0.066692,0.093734,0.12348,0.1523,1,63.833,282
0.12119,0.13658,0.12978,0.10396,0.070201,0.92884,0.97831,0.90596,0.73947,0.53168,0.090682,0.16466,0.27175,0.40767,0.55566,0.68746,0.7706,0.039943,0.067667,0.10709,0.15827,0.21827,0.28047,0.33535,1,126.67,282
0.089899,0.12302,0.14193,0.13805,0.11318,0.70829,0.88356,0.9691,0.93687,0.79781,0.0554,0.09971,0.16426,0.24768,0.34174,0.43103,0.49614,0.078194,0.13227,0.20782,0.30315,0.41022,0.51418,0.596,1,189.5,282
0.053829,0.08944,0.1253,0.14798,0.1473,0.43598,0.64414,0.83679,0.95814,0.96635,0.02732,0.048739,0.080142,0.12147,0.16965,0.21815,0.25785,0.12356,0.2087,0.32553,0.46871,0.62235,0.76089,0.85503,1,252.33,282
0.026014,0.052485,0.08928,0.12803,0.15475,0.2166,0.37902,0.5832,0.79094,0.94482,0.010873,0.019227,0.031558,0.04808,0.067975,0.089107,0.10815,0.15762,0.26582,0.41163,0.58499,0.76215,0.90891,0.99017,1,315.17,282
0.87588,0.64651,0.40002,0.20743,0.090149,0.13415,0.11419,0.079592,0.045622,0.021484,0.99482,0.9305,0.78002,0.58612,0.3946,0.23769,0.12788,0.032818,0.030093,0.026079,0.02135,0.016503,0.012028,0.008258,1,1,1
0.84181,0.62499,0.38934,0.20347,0.089206,0.24523,0.20442,0.1412,0.081139,0.038753,0.95149,0.99695,0.93618,0.78802,0.59429,0.40101,0.24168,0.032792,0.033325,0.032007,0.02904,0.024878,0.020095,0.01529,1,1,47.833
0.7183,0.53641,0.33644,0.1772,0.078369,0.39801,0.32491,0.2224,0.12812,0.06206,0.80795,0.94831,0.99754,0.9406,0.79462,0.60066,0.40551,0.02909,0.032764,0.034874,0.035068,0.033294,0.029806,0.025134,1,1,94.667
0.54415,0.40873,0.25811,0.137,0.061125,0.57349,0.45847,0.31099,0.1796,0.088235,0.6091,0.80085,0.94368,0.99677,0.94328,0.79875,0.60406,0.022911,0.028598,0.033736,0.037596,0.039559,0.039249,0.036681,1,1,141.5
0.36598,0.27651,0.1758,0.094044,0.042327,0.73362,0.57436,0.38608,0.22352,0.11137,0.40768,0.60045,0.79259,0.9378,0.99413,0.943,0.79886,0.01602,0.022162,0.028974,0.035784,0.04173,0.045885,0.047525,1,1,188.33
0.21851,0.16606,0.1063,0.057308,0.02602,0.83321,0.63882,0.42553,0.24697,0.12481,0.24223,0.39966,0.59097,0.7833,0.93016,0.98842,0.93799,0.0099443,0.015246,0.022091,0.030238,0.039081,0.047626,0.054669,1,1,235.17
0.11584,0.088548,0.057069,0.031007,0.014202,0.84013,0.6308,0.41639,0.24227,0.12418,0.12779,0.23619,0.39123,0.58088,0.77269,0.91978,0.97776,0.0054808,0.0093129,0.014954,0.022686,0.032494,0.043886,0.055831,1,1,282
0.076738,0.18153,0.35995,0.59818,0.83295,0.013871,0.032591,0.062717,0.099249,0.12901,0.027197,0.024125,0.020003,0.015503,0.011229,0.0075935,0.0047899,0.97176,0.8831,0.73268,0.55462,0.38263,0.2402,0.1369,1,378,1
0.073753,0.17549,0.35034,0.58676,0.82423,0.025357,0.058346,0.11126,0.17651,0.2327,0.026013,0.025848,0.024007,0.020843,0.016911,0.012811,0.0090525,0.97099,0.97794,0.89921,0.75438,0.57679,0.40129,0.25348,1,378,47.833
0.062932,0.15062,0.30274,0.51099,0.7241,0.041154,0.092735,0.17525,0.27871,0.37265,0.022089,0.024587,0.025581,0.024879,0.022611,0.019189,0.015189,0.86137,0.96147,0.97977,0.91097,0.77193,0.59521,0.41667,1,378,94.667
0.047674,0.11477,0.23225,0.39508,0.56477,0.059299,0.13086,0.24505,0.3907,0.52983,0.016652,0.020763,0.0242,0.026364,0.026842,0.025517,0.022626,0.6784,0.83922,0.94778,0.97664,0.91719,0.78378,0.60809,1,378,141.5
0.032065,0.07764,0.15819,0.2712,0.39109,0.075857,0.16393,0.30422,0.48625,0.66877,0.011146,0.015568,0.020325,0.024804,0.028289,0.030126,0.029922,0.47437,0.65035,0.81399,0.92959,0.96751,0.91629,0.78787,1,378,188.33
0.019144,0.046627,0.095652,0.16526,0.24041,0.086155,0.18233,0.33531,0.53728,0.74947,0.0066224,0.010362,0.015155,0.020718,0.026468,0.031577,0.035134,0.29446,0.44741,0.62062,0.78551,0.90609,0.95105,0.9063,1,378,235.17
0.010149,0.024863,0.051353,0.089416,0.13122,0.08687,0.18004,0.32811,0.52705,0.74566,0.0034938,0.0061237,0.010033,0.015364,0.021987,0.029384,0.036623,0.16229,0.27329,0.42013,0.58932,0.75338,0.87638,0.92556,1,378,282
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
63.833,126.67,189.5,252.33,315.17,63.833,126.67,189.5,252.33,315.17,1,1,1,1,1,1,1,378,378,378,378,378,378,378,0,0,0
1,1,1,1,1,282,282,282,282,282,1,47.833,94.667,141.5,188.33,235.17,282,1,47.833,94.667,141.5,188.33,235.17,282,0,0,0
